plate,well,strain,dilution_factor,n_barcodes,n_barcodes_final,final_library,parsed_reads,neut_standard_reads,non-neut-standard_parsed_reads,own_strain_reads,other_strain_reads,unmatched_near_expected_reads,unmatched_far_expected_reads,frac_own_strain_reads,frac_other_strain_reads,frac_unmatched_near_expected_reads,frac_unmatched_far_expected_reads,frac_foreign,frac_unmatched,titer,too_shallow,titer_imprecise,flagged_other_strain,flagged_unmatched,top_other_strain,top_other_strain_reads,top_other_strain_well,top_other_strain_wells_away
20260730_single_well_H3_strains,A2,A/Massachusetts/ISC-1856/2025_H3N2,1,2,2,kept,767341,7004,760337,755805,17,3540,975,0.994,2.236e-05,0.004656,0.001282,0.001305,0.005938,107.9,False,False,False,False,A/Sydney/50/2026_H1N1,3,A2,
20260730_single_well_H3_strains,B2,A/Florida/ISC-1069/2026_H3N2,1,2,2,kept,1650943,27793,1623150,1611884,47,7453,3766,0.9931,2.896e-05,0.004592,0.00232,0.002349,0.006912,58,False,False,False,False,A/Maine/25/2026_H1N1,21,B2,
20260730_single_well_H3_strains,C2,A/Denmark/3940/2025_H3N2,1,2,2,kept,1130272,18326,1111946,1103158,17,5990,2781,0.9921,1.529e-05,0.005387,0.002501,0.002516,0.007888,60.2,False,False,False,False,A/Netherlands/864/2026_H1N1,6,C2,
20260730_single_well_H3_strains,D2,A/France/PAC-RELAB-HCL026021993801/2026_H3N2,1,2,2,kept,1769121,12619,1756502,1743225,32,11281,1964,0.9924,1.822e-05,0.006422,0.001118,0.001136,0.007541,138.1,False,False,False,False,A/France/HDF-RELAB-IPP07969/2025_H1N1,9,D2,
20260730_single_well_H3_strains,E2,A/Luxembourg/LNS9132577/2026_H3N2,1,2,2,kept,2111283,29396,2081887,2064878,53,12577,4379,0.9918,2.546e-05,0.006041,0.002103,0.002129,0.008145,70.24,False,False,False,False,A/Virginia/82/2025_H1N1,21,E2,
20260730_single_well_H3_strains,F2,A/California/NIRC-IS-1067/2026_H3N2,1,2,2,kept,1940210,34971,1905239,1889941,24,9542,5732,0.992,1.26e-05,0.005008,0.003009,0.003021,0.008017,54.04,False,False,False,False,A/Valencia/VAHNSI_09_02564/2025_H1N1,12,F2,
20260730_single_well_H3_strains,G2,A/France/HDF-RELAB-IPP00300/2026_H3N2,1,2,2,kept,2054762,20401,2034361,2021375,42,10027,2917,0.9936,2.065e-05,0.004929,0.001434,0.001455,0.006363,99.08,False,False,False,False,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,10,G2,
20260730_single_well_H3_strains,H2,A/NovaScotia/25-365-06099/2025_H3N2,1,2,2,kept,1560662,12508,1548154,1539753,21,6553,1827,0.9946,1.356e-05,0.004233,0.00118,0.001194,0.005413,123.1,False,False,False,False,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,3,H2,
20260730_single_well_H3_strains,A3,A/StPetersburg/RII-25-2321S/2025_H3N2,1,2,2,kept,1671647,11397,1660250,1651064,27,7553,1606,0.9945,1.626e-05,0.004549,0.0009673,0.0009836,0.005517,144.9,False,False,False,False,A/Kentucky/80/2025_H1N1,4,A3,
20260730_single_well_H3_strains,B3,A/NordrheinWestfalen/54/2026_H3N2,1,2,2,kept,1820946,11527,1809419,1799046,79,8587,1707,0.9943,4.366e-05,0.004746,0.0009434,0.0009871,0.005689,156.1,False,False,False,False,A/Singapore/KK2768/2025_H1N1,22,B3,
20260730_single_well_H3_strains,C3,A/SantaCatarina/508/2026_H3N2,1,2,2,kept,1902045,13537,1888508,1878488,36,8027,1957,0.9947,1.906e-05,0.00425,0.001036,0.001055,0.005287,138.8,False,False,False,False,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,18,C3,
20260730_single_well_H3_strains,D3,A/Trieste/380/2026_H3N2,1,2,2,kept,2070240,11259,2058981,2047294,40,9962,1685,0.9943,1.943e-05,0.004838,0.0008184,0.0008378,0.005657,181.8,False,False,False,False,A/California/NIRC-IS-1019/2026_H1N1,11,D3,
20260730_single_well_H3_strains,E3,A/Michigan/UM-10068071276/2025_H3N2,1,2,2,kept,1987989,24208,1963781,1949866,34,10296,3585,0.9929,1.731e-05,0.005243,0.001826,0.001843,0.007069,80.55,False,False,False,False,A/Zambia/6-NIC-014/2026_H1N1,15,E3,
20260730_single_well_H3_strains,F3,A/Singapore/NTF0577/2025_H3N2,1,2,2,kept,1435559,31004,1404555,1390985,12,9035,4523,0.9903,8.544e-06,0.006433,0.00322,0.003229,0.009653,44.86,False,False,False,False,A/NewYork/NIRC-IS-1086/2026_H3N2,2,H7,4
20260730_single_well_H3_strains,G3,A/California/NIRC-IS-1059/2026_H3N2,1,2,2,kept,1020376,9787,1010589,1004771,10,4371,1437,0.9942,9.895e-06,0.004325,0.001422,0.001432,0.005747,102.7,False,False,False,False,A/Missouri/11/2025_egg_H1N1,1,A1,
20260730_single_well_H3_strains,H3,A/Germany/LRMC_0104/2025_H3N2,1,2,2,kept,1777588,13734,1763854,1753895,22,7769,2168,0.9944,1.247e-05,0.004405,0.001229,0.001242,0.005634,127.7,False,False,False,False,A/Saskatchewan/SKFLU477299/2025_H3N2,2,C7,5
20260730_single_well_H3_strains,A4,A/France/HDF-RELAB-IPP00303/2026_H3N2,1,2,2,kept,1122616,10597,1112019,1102121,30,8316,1552,0.9911,2.698e-05,0.007478,0.001396,0.001423,0.008874,104,False,False,False,False,A/Andalucia/PMC-01495/2025_H1N1,7,A4,
20260730_single_well_H3_strains,B4,A/Germany/LRMC_0113/2025_H3N2,1,2,2,kept,2186089,21246,2164843,2149163,46,12411,3223,0.9928,2.125e-05,0.005733,0.001489,0.00151,0.007222,101.2,False,False,False,False,A/Netherlands/2398/2025_H1N1,9,B4,
20260730_single_well_H3_strains,C4,A/StPetersburg/RII-25-2506S/2026_H3N2,1,2,2,kept,1747944,5673,1742271,1734246,27,7186,812,0.9954,1.55e-05,0.004125,0.0004661,0.0004816,0.004591,305.7,False,False,False,False,A/Netherlands/10008/2026_H1N1,4,C4,
20260730_single_well_H3_strains,D4,A/Connecticut/5/2026_H3N2,1,2,2,kept,731700,12595,719105,713094,19,4081,1911,0.9916,2.642e-05,0.005675,0.002657,0.002684,0.008333,56.62,False,False,False,False,A/BritishColumbia/RV01350-26/2026_H1N1,6,D4,
20260730_single_well_H3_strains,E4,A/Singapore/SAR8915/2025_H3N2,1,2,2,kept,2255339,13148,2242191,2229148,31,10744,2268,0.9942,1.383e-05,0.004792,0.001012,0.001025,0.005803,169.5,False,False,False,False,A/Vietnam/PF125413/2025_H1N1,9,E4,
20260730_single_well_H3_strains,F4,A/France/ARA-HCL026031894402/2026_H3N2,1,2,2,kept,2268819,26343,2242476,2228173,39,9678,4586,0.9936,1.739e-05,0.004316,0.002045,0.002062,0.006361,84.58,False,False,False,False,A/Saskatchewan/SKFLU490586/2026_H1N1,20,F4,
20260730_single_well_H3_strains,G4,A/Castellon/VAHNSI_02_02400/2025_H3N2,1,2,2,kept,1840493,36344,1804149,1788728,29,9409,5983,0.9915,1.607e-05,0.005215,0.003316,0.003332,0.008531,49.22,False,False,False,False,A/Asturias/232590913/2025_H1N1,13,G4,
20260730_single_well_H3_strains,H4,A/Trieste/257/2025_H3N2,1,2,2,kept,653736,9441,644295,639732,9,3020,1534,0.9929,1.397e-05,0.004687,0.002381,0.002395,0.007068,67.76,False,False,False,False,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,3,H4,
20260730_single_well_H3_strains,A5,A/Badajoz/18738342/2026_H3N2,1,2,2,kept,1818359,6974,1811385,1800626,57,9598,1104,0.9941,3.147e-05,0.005299,0.0006095,0.0006409,0.005908,258.2,False,False,False,False,A/Texas/29/2026_H1N1,17,A5,
20260730_single_well_H3_strains,B5,A/Saskatchewan/SKFLU477727/2025_H3N2,1,2,2,kept,1775273,13156,1762117,1750299,51,9974,1793,0.9933,2.894e-05,0.00566,0.001018,0.001046,0.006678,133,False,False,False,False,A/Andalucia/PMC-01217/2025_H1N1,14,B5,
20260730_single_well_H3_strains,C5,A/Michigan/UM-10068134090/2025_H3N2,1,2,2,kept,881415,2104,879311,874340,20,4617,334,0.9943,2.275e-05,0.005251,0.0003798,0.0004026,0.005631,415.6,False,False,False,False,A/California/NIRC-IS-1356/2025_H1N1,11,C5,
20260730_single_well_H3_strains,D5,A/Thuringen/39/2026_H3N2,1,2,2,kept,2021181,35683,1985498,1969991,35,10222,5250,0.9922,1.763e-05,0.005148,0.002644,0.002662,0.007793,55.21,False,False,False,False,A/Netherlands/543/2026_H1N1,6,D5,
20260730_single_well_H3_strains,E5,A/California/GKISBBBH79910/2026_H3N2,1,2,2,kept,1269401,9844,1259557,1251417,17,6623,1500,0.9935,1.35e-05,0.005258,0.001191,0.001204,0.006449,127.1,False,False,False,False,A/Galicia/GA-CHUAC-612/2025_H1N1,6,E5,
20260730_single_well_H3_strains,F5,A/SouthCarolina/USAFSAM-17046/2026_H3N2,1,2,2,kept,1251666,8159,1243507,1236591,19,5842,1055,0.9944,1.528e-05,0.004698,0.0008484,0.0008637,0.005546,151.6,False,False,False,False,A/Denmark/4774/2025_H1N1,7,F5,
20260730_single_well_H3_strains,G5,A/NakhonPhanom/P495/2026_H3N2,1,2,2,kept,1349858,11135,1338723,1330886,30,6010,1797,0.9941,2.241e-05,0.004489,0.001342,0.001365,0.005832,119.5,False,False,False,False,A/PaisVasco/70369726/2026_H1N1,16,G5,
20260730_single_well_H3_strains,H5,A/Romania/612042/2026_H3N2,1,2,2,kept,1410769,22128,1388641,1379408,32,5696,3505,0.9934,2.304e-05,0.004102,0.002524,0.002547,0.006626,62.34,False,False,False,False,A/MinasGerais/410/2026_H1N1,15,H5,
20260730_single_well_H3_strains,A6,A/Victoria/2948/2025_H3N2,1,2,2,kept,1753194,6674,1746520,1736413,44,9060,1003,0.9942,2.519e-05,0.005187,0.0005743,0.0005995,0.005762,260.2,False,False,False,False,A/Hessen/18/2026_H1N1,19,A6,
20260730_single_well_H3_strains,B6,A/Michigan/UM-10068747355/2026_H3N2,1,2,2,kept,2362683,27043,2335640,2260425,49655,21394,4166,0.9678,0.02126,0.00916,0.001784,0.02304,0.01094,83.59,False,False,True,False,A/Netherlands/968/2026_H3N2,49600,C6,1
20260730_single_well_H3_strains,C6,A/Netherlands/968/2026_H3N2,1,2,2,kept,1729688,19749,1709939,1698356,32,8637,2914,0.9932,1.871e-05,0.005051,0.001704,0.001723,0.006755,86,False,False,False,False,A/Galicia/GA-CHUAC-612/2025_H1N1,12,E5,
20260730_single_well_H3_strains,D6,A/California/LACPHL-INF02113/2025_H3N2,1,2,0,dropped from the library,1712347,7614,1704733,93,1697607,58,6975,5.455e-05,0.9958,3.402e-05,0.004092,0.9999,0.004126,0.01221,False,False,True,False,A/Michigan/UM-10068747355/2026_H3N2,1697573,B6,2
20260730_single_well_H3_strains,E6,A/Missouri/NIRC-AV-1003/2025_H3N2,1,2,2,kept,2160315,5872,2154443,2143880,74,9522,967,0.9951,3.435e-05,0.00442,0.0004488,0.0004832,0.004869,365.1,False,False,False,False,A/Netherlands/968/2026_H3N2,33,C6,2
20260730_single_well_H3_strains,F6,A/France/OCC-HCL026013263701/2026_H3N2,1,2,2,kept,1752542,43276,1709266,1695002,29,8094,6141,0.9917,1.697e-05,0.004735,0.003593,0.00361,0.008328,39.17,False,False,False,False,A/France/ARA-HCL025195259501/2025_H1N1,19,F6,
20260730_single_well_H3_strains,G6,A/Ontario/PHL202550193/2025_H3N2,1,2,2,kept,1884943,14981,1869962,1859559,29,7881,2493,0.9944,1.551e-05,0.004215,0.001333,0.001349,0.005548,124.1,False,False,False,False,A/NordrheinWestfalen/96/2026_H1N1,11,G6,
20260730_single_well_H3_strains,H6,A/Netherlands/888/2026_H3N2,1,2,2,kept,1364727,18878,1345849,1335076,19,7742,3012,0.992,1.412e-05,0.005753,0.002238,0.002252,0.00799,70.72,False,False,False,False,A/Arizona/40/2026_H1N1,10,H6,
20260730_single_well_H3_strains,A7,A/SouthAustralia/2605715552/2026_H3N2,1,2,1,"kept, some barcodes dropped",2238881,12151,2226730,2213847,44,11074,1765,0.9942,1.976e-05,0.004973,0.0007926,0.0008124,0.005766,182.2,False,False,False,False,A/MinasGerais/671/2026_H1N1,15,A7,
20260730_single_well_H3_strains,B7,A/France/HDF-IPP01550/2026_H3N2,1,2,2,kept,688591,9982,678609,673459,17,3688,1445,0.9924,2.505e-05,0.005435,0.002129,0.002154,0.007564,67.47,False,False,False,False,A/SouthAfrica/NICD-R01647/2026_H1N1,4,B7,
20260730_single_well_H3_strains,C7,A/Saskatchewan/SKFLU477299/2025_H3N2,1,2,2,kept,880852,3168,877684,873565,19,3600,500,0.9953,2.165e-05,0.004102,0.0005697,0.0005913,0.004671,275.7,False,False,False,False,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,11,C7,
20260730_single_well_H3_strains,D7,A/Parana/416133590/2026_H3N2,1,2,2,kept,2004965,22354,1982611,1968696,35,10590,3290,0.993,1.765e-05,0.005341,0.001659,0.001677,0.007001,88.07,False,False,False,False,A/Mauritius/26000203/2026_H1N1,16,D7,
20260730_single_well_H3_strains,E7,A/Montana/51/2025_H3N2,1,2,2,kept,1598482,9094,1589388,1574517,31,13370,1470,0.9906,1.95e-05,0.008412,0.0009249,0.0009444,0.009337,173.1,False,False,False,False,A/SouthAfrica/NICD-R01668/2026_H1N1,12,E7,
20260730_single_well_H3_strains,F7,A/France/GES-IPP01077/2026_H3N2,1,2,2,kept,1301178,8769,1292409,1284446,13,6619,1331,0.9938,1.006e-05,0.005121,0.00103,0.00104,0.006151,146.5,False,False,False,False,A/Michigan/UM-10068747355/2026_H3N2,3,B6,4
20260730_single_well_H3_strains,G7,A/Bolivia/OR5702/2025_H3N2,1,2,2,kept,2005848,33315,1972533,1955369,26,10632,6506,0.9913,1.318e-05,0.00539,0.003298,0.003311,0.008688,58.69,False,False,False,False,A/Wisconsin/67/2022_H1N1,7,G7,
20260730_single_well_H3_strains,H7,A/NewYork/NIRC-IS-1086/2026_H3N2,1,2,2,kept,1696979,29595,1667384,1655267,31,7483,4603,0.9927,1.859e-05,0.004488,0.002761,0.002779,0.007248,55.93,False,False,False,False,A/Wisconsin/588/2019_H1N1,16,H7,
20260730_single_well_H3_strains,A8,A/Michigan/8/2026_H3N2,1,2,2,kept,1976602,21778,1954824,1940992,53,10592,3187,0.9929,2.711e-05,0.005418,0.00163,0.001657,0.007049,89.13,False,False,False,False,A/Victoria/4897/2022_IVR-238_H1N1,18,A8,
20260730_single_well_H3_strains,B8,A/Peru/ANC-INS-062/2026_H3N2,1,2,1,"kept, some barcodes dropped",2060060,6810,2053250,2045009,54,7176,1011,0.996,2.63e-05,0.003495,0.0004924,0.0005187,0.003987,300.3,False,False,False,False,A/Thailand/8/2022_H3N2,17,B8,
20260730_single_well_H3_strains,C8,A/Blaenavon/6687/2026_H3N2,1,2,2,kept,954432,4558,949874,945585,14,3600,675,0.9955,1.474e-05,0.00379,0.0007106,0.0007254,0.004501,207.5,False,False,False,False,A/Massachusetts/18/2022_H3N2,5,C8,
20260730_single_well_H3_strains,D8,A/Oregon/81/2025_H3N2,1,2,2,kept,359428,3522,355906,353909,7,1374,616,0.9944,1.967e-05,0.003861,0.001731,0.00175,0.005591,100.5,False,False,False,False,A/Hawaii/70/2019_H1N1,5,D8,
20260730_single_well_H3_strains,E8,A/Michigan/UM-10068449788/2025_H3N2,1,2,2,kept,1544029,27919,1516110,1505112,22,6670,4306,0.9927,1.451e-05,0.004399,0.00284,0.002855,0.00724,53.91,False,False,False,False,A/District_Of_Columbia/27/2023_H3N2,4,E8,
20260730_single_well_H3_strains,F8,A/France/NAQ-HCL026010957001/2026_H3N2,1,2,2,kept,2345369,40813,2304556,2285716,31,12533,6276,0.9918,1.345e-05,0.005438,0.002723,0.002737,0.008162,56,False,False,False,False,A/Croatia/10136RV/2023_H3N2,13,F8,
20260730_single_well_H3_strains,G8,A/Michigan/UM-10068456988/2025_H3N2,1,2,2,kept,1919150,21952,1897198,1885076,35,8873,3214,0.9936,1.845e-05,0.004677,0.001694,0.001713,0.006371,85.87,False,False,False,False,A/Colombia/1851/2024_H3N2,20,G8,
20260730_single_well_H3_strains,H8,A/Badajoz/18813527/2026_H3N2,1,2,2,kept,557600,11848,545752,541500,9,2485,1758,0.9922,1.649e-05,0.004553,0.003221,0.003238,0.007775,45.7,False,False,False,False,A/Hawaii/ISC-1140/2025_H1N1,3,H8,
20260730_single_well_H3_strains,A9,A/BritishColumbia/RV00279-26/2025_H3N2,1,2,2,kept,783582,15963,767619,747987,123,17032,2477,0.9744,0.0001602,0.02219,0.003227,0.003387,0.02541,46.86,False,False,False,True,A/RiodeJaneiro/331/2026_H3N2,103,B9,1
20260730_single_well_H3_strains,B9,A/RiodeJaneiro/331/2026_H3N2,1,2,2,kept,965126,8821,956305,949819,32,5173,1281,0.9932,3.346e-05,0.005409,0.00134,0.001373,0.006749,107.7,False,False,False,False,A/Ohio/259/2024_H1N1,13,B9,
20260730_single_well_H3_strains,C9,A/Navarra/260009/2025_H3N2,1,2,2,kept,1215336,5036,1210300,1203973,20,5575,732,0.9948,1.652e-05,0.004606,0.0006048,0.0006213,0.005211,239.1,False,False,False,False,A/Colorado/218/2024_H1N1,10,C9,
