subtype,region,week_start,category,n_sequences
H1N1,ectodomain,2024-11-04,identical,79
H1N1,ectodomain,2024-11-04,more_than_4_mutations,9
H1N1,ectodomain,2024-11-11,1_mutation,136
H1N1,ectodomain,2024-11-11,2_mutations,103
H1N1,ectodomain,2024-11-11,3_mutations,57
H1N1,ectodomain,2024-11-11,4_mutations,11
H1N1,ectodomain,2024-11-11,identical,97
H1N1,ectodomain,2024-11-11,more_than_4_mutations,8
H1N1,ectodomain,2024-11-18,1_mutation,176
H1N1,ectodomain,2024-11-18,2_mutations,131
H1N1,ectodomain,2024-11-18,3_mutations,44
H1N1,ectodomain,2024-11-18,4_mutations,18
H1N1,ectodomain,2024-11-18,identical,136
H1N1,ectodomain,2024-11-18,more_than_4_mutations,11
H1N1,ectodomain,2024-11-25,1_mutation,181
H1N1,ectodomain,2024-11-25,2_mutations,163
H1N1,ectodomain,2024-11-25,3_mutations,83
H1N1,ectodomain,2024-11-25,4_mutations,34
H1N1,ectodomain,2024-11-25,identical,196
H1N1,ectodomain,2024-11-25,more_than_4_mutations,12
H1N1,ectodomain,2024-12-02,1_mutation,241
H1N1,ectodomain,2024-12-02,2_mutations,196
H1N1,ectodomain,2024-12-02,3_mutations,95
H1N1,ectodomain,2024-12-02,4_mutations,43
H1N1,ectodomain,2024-12-02,identical,222
H1N1,ectodomain,2024-12-02,more_than_4_mutations,15
H1N1,ectodomain,2024-12-09,1_mutation,343
H1N1,ectodomain,2024-12-09,2_mutations,231
H1N1,ectodomain,2024-12-09,3_mutations,133
H1N1,ectodomain,2024-12-09,4_mutations,50
H1N1,ectodomain,2024-12-09,identical,301
H1N1,ectodomain,2024-12-09,more_than_4_mutations,13
H1N1,ectodomain,2024-12-16,1_mutation,392
H1N1,ectodomain,2024-12-16,2_mutations,268
H1N1,ectodomain,2024-12-16,3_mutations,142
H1N1,ectodomain,2024-12-16,4_mutations,58
H1N1,ectodomain,2024-12-16,identical,329
H1N1,ectodomain,2024-12-16,more_than_4_mutations,19
H1N1,ectodomain,2024-12-23,1_mutation,333
H1N1,ectodomain,2024-12-23,2_mutations,260
H1N1,ectodomain,2024-12-23,3_mutations,122
H1N1,ectodomain,2024-12-23,4_mutations,52
H1N1,ectodomain,2024-12-23,identical,326
H1N1,ectodomain,2024-12-23,more_than_4_mutations,13
H1N1,ectodomain,2024-12-30,1_mutation,448
H1N1,ectodomain,2024-12-30,2_mutations,342
H1N1,ectodomain,2024-12-30,3_mutations,168
H1N1,ectodomain,2024-12-30,4_mutations,51
H1N1,ectodomain,2024-12-30,identical,446
H1N1,ectodomain,2024-12-30,more_than_4_mutations,20
H1N1,ectodomain,2025-01-06,1_mutation,493
H1N1,ectodomain,2025-01-06,2_mutations,395
H1N1,ectodomain,2025-01-06,3_mutations,185
H1N1,ectodomain,2025-01-06,4_mutations,70
H1N1,ectodomain,2025-01-06,identical,533
H1N1,ectodomain,2025-01-06,more_than_4_mutations,29
H1N1,ectodomain,2025-01-13,1_mutation,548
H1N1,ectodomain,2025-01-13,2_mutations,461
H1N1,ectodomain,2025-01-13,3_mutations,221
H1N1,ectodomain,2025-01-13,4_mutations,72
H1N1,ectodomain,2025-01-13,identical,683
H1N1,ectodomain,2025-01-13,more_than_4_mutations,26
H1N1,ectodomain,2025-01-20,1_mutation,562
H1N1,ectodomain,2025-01-20,2_mutations,427
H1N1,ectodomain,2025-01-20,3_mutations,186
H1N1,ectodomain,2025-01-20,4_mutations,76
H1N1,ectodomain,2025-01-20,identical,726
H1N1,ectodomain,2025-01-20,more_than_4_mutations,15
H1N1,ectodomain,2025-01-27,1_mutation,493
H1N1,ectodomain,2025-01-27,2_mutations,351
H1N1,ectodomain,2025-01-27,3_mutations,213
H1N1,ectodomain,2025-01-27,4_mutations,73
H1N1,ectodomain,2025-01-27,identical,805
H1N1,ectodomain,2025-01-27,more_than_4_mutations,21
H1N1,ectodomain,2025-02-03,1_mutation,443
H1N1,ectodomain,2025-02-03,2_mutations,349
H1N1,ectodomain,2025-02-03,3_mutations,140
H1N1,ectodomain,2025-02-03,4_mutations,56
H1N1,ectodomain,2025-02-03,identical,741
H1N1,ectodomain,2025-02-03,more_than_4_mutations,15
H1N1,ectodomain,2025-02-10,1_mutation,413
H1N1,ectodomain,2025-02-10,2_mutations,327
H1N1,ectodomain,2025-02-10,3_mutations,140
H1N1,ectodomain,2025-02-10,4_mutations,63
H1N1,ectodomain,2025-02-10,identical,688
H1N1,ectodomain,2025-02-10,more_than_4_mutations,17
H1N1,ectodomain,2025-02-17,1_mutation,341
H1N1,ectodomain,2025-02-17,2_mutations,231
H1N1,ectodomain,2025-02-17,3_mutations,115
H1N1,ectodomain,2025-02-17,4_mutations,37
H1N1,ectodomain,2025-02-17,identical,658
H1N1,ectodomain,2025-02-17,more_than_4_mutations,17
H1N1,ectodomain,2025-02-24,1_mutation,349
H1N1,ectodomain,2025-02-24,2_mutations,167
H1N1,ectodomain,2025-02-24,3_mutations,92
H1N1,ectodomain,2025-02-24,4_mutations,27
H1N1,ectodomain,2025-02-24,identical,596
H1N1,ectodomain,2025-02-24,more_than_4_mutations,19
H1N1,ectodomain,2025-03-03,1_mutation,281
H1N1,ectodomain,2025-03-03,2_mutations,155
H1N1,ectodomain,2025-03-03,3_mutations,79
H1N1,ectodomain,2025-03-03,4_mutations,20
H1N1,ectodomain,2025-03-03,identical,485
H1N1,ectodomain,2025-03-03,more_than_4_mutations,11
H1N1,ectodomain,2025-03-10,1_mutation,225
H1N1,ectodomain,2025-03-10,2_mutations,137
H1N1,ectodomain,2025-03-10,3_mutations,66
H1N1,ectodomain,2025-03-10,4_mutations,28
H1N1,ectodomain,2025-03-10,identical,463
H1N1,ectodomain,2025-03-10,more_than_4_mutations,9
H1N1,ectodomain,2025-03-17,1_mutation,256
H1N1,ectodomain,2025-03-17,2_mutations,72
H1N1,ectodomain,2025-03-17,3_mutations,66
H1N1,ectodomain,2025-03-17,4_mutations,24
H1N1,ectodomain,2025-03-17,identical,483
H1N1,ectodomain,2025-03-17,more_than_4_mutations,5
H1N1,ectodomain,2025-03-24,1_mutation,214
H1N1,ectodomain,2025-03-24,2_mutations,105
H1N1,ectodomain,2025-03-24,3_mutations,46
H1N1,ectodomain,2025-03-24,4_mutations,28
H1N1,ectodomain,2025-03-24,identical,401
H1N1,ectodomain,2025-03-24,more_than_4_mutations,12
H1N1,ectodomain,2025-03-31,1_mutation,216
H1N1,ectodomain,2025-03-31,2_mutations,93
H1N1,ectodomain,2025-03-31,3_mutations,61
H1N1,ectodomain,2025-03-31,4_mutations,23
H1N1,ectodomain,2025-03-31,identical,427
H1N1,ectodomain,2025-03-31,more_than_4_mutations,9
H1N1,ectodomain,2025-04-07,1_mutation,219
H1N1,ectodomain,2025-04-07,2_mutations,91
H1N1,ectodomain,2025-04-07,3_mutations,50
H1N1,ectodomain,2025-04-07,4_mutations,24
H1N1,ectodomain,2025-04-07,identical,391
H1N1,ectodomain,2025-04-07,more_than_4_mutations,6
H1N1,ectodomain,2025-04-14,1_mutation,202
H1N1,ectodomain,2025-04-14,2_mutations,54
H1N1,ectodomain,2025-04-14,3_mutations,28
H1N1,ectodomain,2025-04-14,4_mutations,6
H1N1,ectodomain,2025-04-14,identical,314
H1N1,ectodomain,2025-04-14,more_than_4_mutations,5
H1N1,ectodomain,2025-04-21,1_mutation,182
H1N1,ectodomain,2025-04-21,2_mutations,84
H1N1,ectodomain,2025-04-21,3_mutations,28
H1N1,ectodomain,2025-04-21,4_mutations,12
H1N1,ectodomain,2025-04-21,identical,291
H1N1,ectodomain,2025-04-21,more_than_4_mutations,6
H1N1,ectodomain,2025-04-28,1_mutation,188
H1N1,ectodomain,2025-04-28,2_mutations,61
H1N1,ectodomain,2025-04-28,3_mutations,28
H1N1,ectodomain,2025-04-28,4_mutations,18
H1N1,ectodomain,2025-04-28,identical,306
H1N1,ectodomain,2025-04-28,more_than_4_mutations,2
H1N1,ectodomain,2025-05-05,1_mutation,176
H1N1,ectodomain,2025-05-05,2_mutations,69
H1N1,ectodomain,2025-05-05,3_mutations,27
H1N1,ectodomain,2025-05-05,4_mutations,10
H1N1,ectodomain,2025-05-05,identical,276
H1N1,ectodomain,2025-05-05,more_than_4_mutations,4
H1N1,ectodomain,2025-05-12,1_mutation,188
H1N1,ectodomain,2025-05-12,2_mutations,74
H1N1,ectodomain,2025-05-12,3_mutations,31
H1N1,ectodomain,2025-05-12,4_mutations,13
H1N1,ectodomain,2025-05-12,identical,311
H1N1,ectodomain,2025-05-12,more_than_4_mutations,4
H1N1,ectodomain,2025-05-19,1_mutation,175
H1N1,ectodomain,2025-05-19,2_mutations,93
H1N1,ectodomain,2025-05-19,3_mutations,31
H1N1,ectodomain,2025-05-19,4_mutations,3
H1N1,ectodomain,2025-05-19,identical,291
H1N1,ectodomain,2025-05-19,more_than_4_mutations,2
H1N1,ectodomain,2025-05-26,1_mutation,195
H1N1,ectodomain,2025-05-26,2_mutations,82
H1N1,ectodomain,2025-05-26,3_mutations,24
H1N1,ectodomain,2025-05-26,4_mutations,4
H1N1,ectodomain,2025-05-26,identical,292
H1N1,ectodomain,2025-06-02,1_mutation,174
H1N1,ectodomain,2025-06-02,2_mutations,64
H1N1,ectodomain,2025-06-02,3_mutations,21
H1N1,ectodomain,2025-06-02,4_mutations,5
H1N1,ectodomain,2025-06-02,identical,298
H1N1,ectodomain,2025-06-02,more_than_4_mutations,3
H1N1,ectodomain,2025-06-09,1_mutation,145
H1N1,ectodomain,2025-06-09,2_mutations,51
H1N1,ectodomain,2025-06-09,3_mutations,29
H1N1,ectodomain,2025-06-09,4_mutations,2
H1N1,ectodomain,2025-06-09,identical,273
H1N1,ectodomain,2025-06-16,1_mutation,136
H1N1,ectodomain,2025-06-16,2_mutations,49
H1N1,ectodomain,2025-06-16,3_mutations,19
H1N1,ectodomain,2025-06-16,4_mutations,7
H1N1,ectodomain,2025-06-16,identical,243
H1N1,ectodomain,2025-06-23,1_mutation,160
H1N1,ectodomain,2025-06-23,2_mutations,44
H1N1,ectodomain,2025-06-23,3_mutations,26
H1N1,ectodomain,2025-06-23,identical,208
H1N1,ectodomain,2025-06-23,more_than_4_mutations,1
H1N1,ectodomain,2025-06-30,1_mutation,131
H1N1,ectodomain,2025-06-30,2_mutations,40
H1N1,ectodomain,2025-06-30,3_mutations,20
H1N1,ectodomain,2025-06-30,4_mutations,2
H1N1,ectodomain,2025-06-30,identical,189
H1N1,ectodomain,2025-06-30,more_than_4_mutations,1
H1N1,ectodomain,2025-07-07,1_mutation,149
H1N1,ectodomain,2025-07-07,2_mutations,48
H1N1,ectodomain,2025-07-07,3_mutations,12
H1N1,ectodomain,2025-07-07,4_mutations,4
H1N1,ectodomain,2025-07-07,identical,234
H1N1,ectodomain,2025-07-07,more_than_4_mutations,2
H1N1,ectodomain,2025-07-14,1_mutation,106
H1N1,ectodomain,2025-07-14,2_mutations,41
H1N1,ectodomain,2025-07-14,3_mutations,6
H1N1,ectodomain,2025-07-14,4_mutations,3
H1N1,ectodomain,2025-07-14,identical,213
H1N1,ectodomain,2025-07-14,more_than_4_mutations,5
H1N1,ectodomain,2025-07-21,1_mutation,118
H1N1,ectodomain,2025-07-21,2_mutations,48
H1N1,ectodomain,2025-07-21,3_mutations,10
H1N1,ectodomain,2025-07-21,4_mutations,3
H1N1,ectodomain,2025-07-21,identical,209
H1N1,ectodomain,2025-07-21,more_than_4_mutations,4
H1N1,ectodomain,2025-07-28,1_mutation,103
H1N1,ectodomain,2025-07-28,2_mutations,28
H1N1,ectodomain,2025-07-28,3_mutations,15
H1N1,ectodomain,2025-07-28,4_mutations,2
H1N1,ectodomain,2025-07-28,identical,154
H1N1,ectodomain,2025-08-04,1_mutation,121
H1N1,ectodomain,2025-08-04,2_mutations,45
H1N1,ectodomain,2025-08-04,3_mutations,13
H1N1,ectodomain,2025-08-04,4_mutations,1
H1N1,ectodomain,2025-08-04,identical,136
H1N1,ectodomain,2025-08-04,more_than_4_mutations,2
H1N1,ectodomain,2025-08-11,1_mutation,113
H1N1,ectodomain,2025-08-11,2_mutations,84
H1N1,ectodomain,2025-08-11,3_mutations,14
H1N1,ectodomain,2025-08-11,4_mutations,8
H1N1,ectodomain,2025-08-11,identical,151
H1N1,ectodomain,2025-08-11,more_than_4_mutations,2
H1N1,ectodomain,2025-08-18,1_mutation,100
H1N1,ectodomain,2025-08-18,2_mutations,75
H1N1,ectodomain,2025-08-18,3_mutations,12
H1N1,ectodomain,2025-08-18,4_mutations,4
H1N1,ectodomain,2025-08-18,identical,151
H1N1,ectodomain,2025-08-18,more_than_4_mutations,1
H1N1,ectodomain,2025-08-25,1_mutation,74
H1N1,ectodomain,2025-08-25,2_mutations,44
H1N1,ectodomain,2025-08-25,3_mutations,14
H1N1,ectodomain,2025-08-25,4_mutations,6
H1N1,ectodomain,2025-08-25,identical,193
H1N1,ectodomain,2025-08-25,more_than_4_mutations,2
H1N1,ectodomain,2025-09-01,1_mutation,89
H1N1,ectodomain,2025-09-01,2_mutations,50
H1N1,ectodomain,2025-09-01,3_mutations,10
H1N1,ectodomain,2025-09-01,4_mutations,2
H1N1,ectodomain,2025-09-01,identical,185
H1N1,ectodomain,2025-09-01,more_than_4_mutations,1
H1N1,ectodomain,2025-09-08,1_mutation,97
H1N1,ectodomain,2025-09-08,2_mutations,33
H1N1,ectodomain,2025-09-08,3_mutations,9
H1N1,ectodomain,2025-09-08,4_mutations,6
H1N1,ectodomain,2025-09-08,identical,180
H1N1,ectodomain,2025-09-08,more_than_4_mutations,3
H1N1,ectodomain,2025-09-15,1_mutation,90
H1N1,ectodomain,2025-09-15,2_mutations,35
H1N1,ectodomain,2025-09-15,3_mutations,6
H1N1,ectodomain,2025-09-15,4_mutations,3
H1N1,ectodomain,2025-09-15,identical,148
H1N1,ectodomain,2025-09-22,1_mutation,91
H1N1,ectodomain,2025-09-22,2_mutations,33
H1N1,ectodomain,2025-09-22,3_mutations,12
H1N1,ectodomain,2025-09-22,4_mutations,1
H1N1,ectodomain,2025-09-22,identical,133
H1N1,ectodomain,2025-09-22,more_than_4_mutations,2
H1N1,ectodomain,2025-09-29,1_mutation,81
H1N1,ectodomain,2025-09-29,2_mutations,48
H1N1,ectodomain,2025-09-29,3_mutations,14
H1N1,ectodomain,2025-09-29,identical,151
H1N1,ectodomain,2025-09-29,more_than_4_mutations,5
H1N1,ectodomain,2025-10-06,1_mutation,90
H1N1,ectodomain,2025-10-06,2_mutations,36
H1N1,ectodomain,2025-10-06,3_mutations,7
H1N1,ectodomain,2025-10-06,identical,225
H1N1,ectodomain,2025-10-06,more_than_4_mutations,3
H1N1,ectodomain,2025-10-13,1_mutation,70
H1N1,ectodomain,2025-10-13,2_mutations,26
H1N1,ectodomain,2025-10-13,3_mutations,7
H1N1,ectodomain,2025-10-13,4_mutations,1
H1N1,ectodomain,2025-10-13,identical,260
H1N1,ectodomain,2025-10-13,more_than_4_mutations,1
H1N1,ectodomain,2025-10-20,1_mutation,86
H1N1,ectodomain,2025-10-20,2_mutations,24
H1N1,ectodomain,2025-10-20,3_mutations,10
H1N1,ectodomain,2025-10-20,4_mutations,5
H1N1,ectodomain,2025-10-20,identical,256
H1N1,ectodomain,2025-10-20,more_than_4_mutations,1
H1N1,ectodomain,2025-10-27,1_mutation,93
H1N1,ectodomain,2025-10-27,2_mutations,17
H1N1,ectodomain,2025-10-27,3_mutations,7
H1N1,ectodomain,2025-10-27,4_mutations,1
H1N1,ectodomain,2025-10-27,identical,259
H1N1,ectodomain,2025-10-27,more_than_4_mutations,1
H1N1,ectodomain,2025-11-03,1_mutation,111
H1N1,ectodomain,2025-11-03,2_mutations,20
H1N1,ectodomain,2025-11-03,3_mutations,6
H1N1,ectodomain,2025-11-03,4_mutations,1
H1N1,ectodomain,2025-11-03,identical,244
H1N1,ectodomain,2025-11-10,1_mutation,129
H1N1,ectodomain,2025-11-10,2_mutations,24
H1N1,ectodomain,2025-11-10,3_mutations,9
H1N1,ectodomain,2025-11-10,identical,287
H1N1,ectodomain,2025-11-17,1_mutation,116
H1N1,ectodomain,2025-11-17,2_mutations,22
H1N1,ectodomain,2025-11-17,3_mutations,8
H1N1,ectodomain,2025-11-17,identical,305
H1N1,ectodomain,2025-11-24,1_mutation,179
H1N1,ectodomain,2025-11-24,2_mutations,30
H1N1,ectodomain,2025-11-24,3_mutations,6
H1N1,ectodomain,2025-11-24,4_mutations,3
H1N1,ectodomain,2025-11-24,identical,400
H1N1,ectodomain,2025-12-01,1_mutation,202
H1N1,ectodomain,2025-12-01,2_mutations,35
H1N1,ectodomain,2025-12-01,3_mutations,7
H1N1,ectodomain,2025-12-01,4_mutations,3
H1N1,ectodomain,2025-12-01,identical,425
H1N1,ectodomain,2025-12-08,1_mutation,185
H1N1,ectodomain,2025-12-08,2_mutations,37
H1N1,ectodomain,2025-12-08,3_mutations,9
H1N1,ectodomain,2025-12-08,identical,508
H1N1,ectodomain,2025-12-15,1_mutation,195
H1N1,ectodomain,2025-12-15,2_mutations,33
H1N1,ectodomain,2025-12-15,3_mutations,7
H1N1,ectodomain,2025-12-15,4_mutations,3
H1N1,ectodomain,2025-12-15,identical,469
H1N1,ectodomain,2025-12-22,1_mutation,166
H1N1,ectodomain,2025-12-22,2_mutations,46
H1N1,ectodomain,2025-12-22,3_mutations,5
H1N1,ectodomain,2025-12-22,4_mutations,3
H1N1,ectodomain,2025-12-22,identical,407
H1N1,ectodomain,2025-12-22,more_than_4_mutations,1
H1N1,ectodomain,2025-12-29,1_mutation,185
H1N1,ectodomain,2025-12-29,2_mutations,35
H1N1,ectodomain,2025-12-29,3_mutations,4
H1N1,ectodomain,2025-12-29,4_mutations,3
H1N1,ectodomain,2025-12-29,identical,345
H1N1,ectodomain,2026-01-05,1_mutation,181
H1N1,ectodomain,2026-01-05,2_mutations,34
H1N1,ectodomain,2026-01-05,3_mutations,4
H1N1,ectodomain,2026-01-05,4_mutations,2
H1N1,ectodomain,2026-01-05,identical,355
H1N1,ectodomain,2026-01-12,1_mutation,183
H1N1,ectodomain,2026-01-12,2_mutations,48
H1N1,ectodomain,2026-01-12,3_mutations,6
H1N1,ectodomain,2026-01-12,4_mutations,1
H1N1,ectodomain,2026-01-12,identical,354
H1N1,ectodomain,2026-01-12,more_than_4_mutations,1
H1N1,ectodomain,2026-01-19,1_mutation,135
H1N1,ectodomain,2026-01-19,2_mutations,45
H1N1,ectodomain,2026-01-19,3_mutations,4
H1N1,ectodomain,2026-01-19,4_mutations,1
H1N1,ectodomain,2026-01-19,identical,282
H1N1,ectodomain,2026-01-26,1_mutation,108
H1N1,ectodomain,2026-01-26,2_mutations,38
H1N1,ectodomain,2026-01-26,3_mutations,9
H1N1,ectodomain,2026-01-26,identical,303
H1N1,ectodomain,2026-02-02,1_mutation,131
H1N1,ectodomain,2026-02-02,2_mutations,42
H1N1,ectodomain,2026-02-02,3_mutations,5
H1N1,ectodomain,2026-02-02,identical,243
H1N1,ectodomain,2026-02-09,1_mutation,118
H1N1,ectodomain,2026-02-09,2_mutations,29
H1N1,ectodomain,2026-02-09,3_mutations,6
H1N1,ectodomain,2026-02-09,4_mutations,1
H1N1,ectodomain,2026-02-09,identical,207
H1N1,ectodomain,2026-02-16,1_mutation,110
H1N1,ectodomain,2026-02-16,2_mutations,27
H1N1,ectodomain,2026-02-16,3_mutations,4
H1N1,ectodomain,2026-02-16,4_mutations,2
H1N1,ectodomain,2026-02-16,identical,202
H1N1,ectodomain,2026-02-23,1_mutation,110
H1N1,ectodomain,2026-02-23,2_mutations,24
H1N1,ectodomain,2026-02-23,3_mutations,4
H1N1,ectodomain,2026-02-23,identical,183
H1N1,ectodomain,2026-03-02,1_mutation,107
H1N1,ectodomain,2026-03-02,2_mutations,18
H1N1,ectodomain,2026-03-02,3_mutations,5
H1N1,ectodomain,2026-03-02,identical,163
H1N1,ectodomain,2026-03-09,1_mutation,83
H1N1,ectodomain,2026-03-09,2_mutations,19
H1N1,ectodomain,2026-03-09,3_mutations,3
H1N1,ectodomain,2026-03-09,4_mutations,1
H1N1,ectodomain,2026-03-09,identical,140
H1N1,ectodomain,2026-03-16,1_mutation,56
H1N1,ectodomain,2026-03-16,2_mutations,12
H1N1,ectodomain,2026-03-16,3_mutations,1
H1N1,ectodomain,2026-03-16,4_mutations,1
H1N1,ectodomain,2026-03-16,identical,102
H1N1,ectodomain,2026-03-23,1_mutation,67
H1N1,ectodomain,2026-03-23,2_mutations,17
H1N1,ectodomain,2026-03-23,3_mutations,2
H1N1,ectodomain,2026-03-23,4_mutations,1
H1N1,ectodomain,2026-03-23,identical,104
H1N1,ectodomain,2026-03-23,more_than_4_mutations,1
H1N1,ectodomain,2026-03-30,1_mutation,47
H1N1,ectodomain,2026-03-30,2_mutations,10
H1N1,ectodomain,2026-03-30,3_mutations,4
H1N1,ectodomain,2026-03-30,4_mutations,1
H1N1,ectodomain,2026-03-30,identical,86
H1N1,ectodomain,2026-04-06,1_mutation,40
H1N1,ectodomain,2026-04-06,2_mutations,8
H1N1,ectodomain,2026-04-06,3_mutations,2
H1N1,ectodomain,2026-04-06,identical,65
H1N1,ectodomain,2026-04-13,1_mutation,25
H1N1,ectodomain,2026-04-13,2_mutations,16
H1N1,ectodomain,2026-04-13,3_mutations,1
H1N1,ectodomain,2026-04-13,identical,58
H1N1,ectodomain,2026-04-20,1_mutation,29
H1N1,ectodomain,2026-04-20,2_mutations,24
H1N1,ectodomain,2026-04-20,3_mutations,2
H1N1,ectodomain,2026-04-20,identical,72
H1N1,ectodomain,2026-04-27,1_mutation,34
H1N1,ectodomain,2026-04-27,2_mutations,22
H1N1,ectodomain,2026-04-27,3_mutations,2
H1N1,ectodomain,2026-04-27,identical,76
H1N1,ectodomain,2026-05-04,1_mutation,26
H1N1,ectodomain,2026-05-04,2_mutations,12
H1N1,ectodomain,2026-05-04,3_mutations,2
H1N1,ectodomain,2026-05-04,identical,62
H1N1,ectodomain,2026-05-11,1_mutation,34
H1N1,ectodomain,2026-05-11,2_mutations,12
H1N1,ectodomain,2026-05-11,3_mutations,3
H1N1,ectodomain,2026-05-11,4_mutations,1
H1N1,ectodomain,2026-05-11,identical,37
H1N1,ectodomain,2026-05-18,1_mutation,26
H1N1,ectodomain,2026-05-18,2_mutations,10
H1N1,ectodomain,2026-05-18,3_mutations,3
H1N1,ectodomain,2026-05-18,identical,42
H1N1,ectodomain,2026-05-25,1_mutation,36
H1N1,ectodomain,2026-05-25,2_mutations,6
H1N1,ectodomain,2026-05-25,3_mutations,2
H1N1,ectodomain,2026-05-25,4_mutations,1
H1N1,ectodomain,2026-05-25,identical,33
H1N1,ectodomain,2026-06-01,1_mutation,34
H1N1,ectodomain,2026-06-01,2_mutations,16
H1N1,ectodomain,2026-06-01,3_mutations,1
H1N1,ectodomain,2026-06-01,4_mutations,3
H1N1,ectodomain,2026-06-01,identical,31
H1N1,ectodomain,2026-06-01,more_than_4_mutations,2
H1N1,ectodomain,2026-06-08,1_mutation,32
H1N1,ectodomain,2026-06-08,2_mutations,9
H1N1,ectodomain,2026-06-08,4_mutations,3
H1N1,ectodomain,2026-06-08,identical,28
H1N1,ectodomain,2026-06-08,more_than_4_mutations,1
H1N1,ectodomain,2026-06-15,1_mutation,33
H1N1,ectodomain,2026-06-15,2_mutations,13
H1N1,ectodomain,2026-06-15,3_mutations,3
H1N1,ectodomain,2026-06-15,4_mutations,1
H1N1,ectodomain,2026-06-15,identical,25
H1N1,ectodomain,2026-06-22,1_mutation,27
H1N1,ectodomain,2026-06-22,2_mutations,20
H1N1,ectodomain,2026-06-22,3_mutations,8
H1N1,ectodomain,2026-06-22,4_mutations,2
H1N1,ectodomain,2026-06-22,identical,15
H1N1,ectodomain,2026-06-22,more_than_4_mutations,2
H1N1,ectodomain,2026-06-29,1_mutation,26
H1N1,ectodomain,2026-06-29,2_mutations,9
H1N1,ectodomain,2026-06-29,3_mutations,4
H1N1,ectodomain,2026-06-29,4_mutations,1
H1N1,ectodomain,2026-06-29,identical,16
H1N1,ectodomain,2026-06-29,more_than_4_mutations,4
H1N1,ectodomain,2026-07-06,1_mutation,20
H1N1,ectodomain,2026-07-06,2_mutations,6
H1N1,ectodomain,2026-07-06,3_mutations,2
H1N1,ectodomain,2026-07-06,identical,12
H1N1,ectodomain,2026-07-06,more_than_4_mutations,3
H1N1,ectodomain,2026-07-13,1_mutation,33
H1N1,ectodomain,2026-07-13,2_mutations,7
H1N1,ectodomain,2026-07-13,3_mutations,3
H1N1,ectodomain,2026-07-13,4_mutations,1
H1N1,ectodomain,2026-07-13,identical,5
H1N1,ectodomain,2026-07-13,more_than_4_mutations,1
H1N1,ectodomain,2026-07-20,1_mutation,26
H1N1,ectodomain,2026-07-20,2_mutations,14
H1N1,ectodomain,2026-07-20,3_mutations,7
H1N1,ectodomain,2026-07-20,4_mutations,1
H1N1,ectodomain,2026-07-20,identical,8
H1N1,ectodomain,2026-07-27,1_mutation,13
H1N1,ectodomain,2026-07-27,2_mutations,14
H1N1,ectodomain,2026-07-27,identical,8
H1N1,ectodomain,2026-07-27,more_than_4_mutations,1
H1N1,ectodomain,2026-08-03,1_mutation,20
H1N1,ectodomain,2026-08-03,2_mutations,20
H1N1,ectodomain,2026-08-03,3_mutations,9
H1N1,ectodomain,2026-08-03,identical,5
H1N1,ectodomain,2026-08-10,1_mutation,29
H1N1,ectodomain,2026-08-10,2_mutations,10
H1N1,ectodomain,2026-08-10,3_mutations,4
H1N1,ectodomain,2026-08-10,4_mutations,1
H1N1,ectodomain,2026-08-10,identical,3
H1N1,ectodomain,2026-08-17,1_mutation,1
H1N1,ectodomain,2026-08-17,2_mutations,3
H1N1,ectodomain,2026-08-17,3_mutations,2
H1N1,ectodomain,2026-08-17,4_mutations,1
H3N2,HA1,2024-09-02,1_mutation,85
H3N2,HA1,2024-09-02,2_mutations,68
H3N2,HA1,2024-09-02,3_mutations,31
H3N2,HA1,2024-09-02,4_mutations,12
H3N2,HA1,2024-09-02,identical,21
H3N2,HA1,2024-09-02,more_than_4_mutations,3
H3N2,HA1,2024-09-09,1_mutation,93
H3N2,HA1,2024-09-09,2_mutations,84
H3N2,HA1,2024-09-09,3_mutations,43
H3N2,HA1,2024-09-09,4_mutations,12
H3N2,HA1,2024-09-09,identical,14
H3N2,HA1,2024-09-09,more_than_4_mutations,6
H3N2,HA1,2024-09-16,1_mutation,92
H3N2,HA1,2024-09-16,2_mutations,61
H3N2,HA1,2024-09-16,3_mutations,37
H3N2,HA1,2024-09-16,4_mutations,18
H3N2,HA1,2024-09-16,identical,15
H3N2,HA1,2024-09-16,more_than_4_mutations,4
H3N2,HA1,2024-09-23,1_mutation,58
H3N2,HA1,2024-09-23,2_mutations,60
H3N2,HA1,2024-09-23,3_mutations,37
H3N2,HA1,2024-09-23,4_mutations,9
H3N2,HA1,2024-09-23,identical,8
H3N2,HA1,2024-09-23,more_than_4_mutations,2
H3N2,HA1,2024-09-30,1_mutation,89
H3N2,HA1,2024-09-30,2_mutations,72
H3N2,HA1,2024-09-30,3_mutations,51
H3N2,HA1,2024-09-30,4_mutations,7
H3N2,HA1,2024-09-30,identical,16
H3N2,HA1,2024-09-30,more_than_4_mutations,7
H3N2,HA1,2024-10-07,1_mutation,71
H3N2,HA1,2024-10-07,2_mutations,71
H3N2,HA1,2024-10-07,3_mutations,41
H3N2,HA1,2024-10-07,4_mutations,14
H3N2,HA1,2024-10-07,identical,11
H3N2,HA1,2024-10-07,more_than_4_mutations,1
H3N2,HA1,2024-10-14,1_mutation,84
H3N2,HA1,2024-10-14,2_mutations,72
H3N2,HA1,2024-10-14,3_mutations,45
H3N2,HA1,2024-10-14,4_mutations,11
H3N2,HA1,2024-10-14,identical,19
